,id,supertopic_id,goods_supertopic_id,artist_y,org_id_y
3,1066419.0,100808933adb73ceb3bbe7f6ab08c60e71409e,1008089a846caf8dbe34bc3bdcb7cb98955b4e,NCT DREAM,NCT DREAM
4,724619.0,1008086ce193057da1da01a284f80ec2868ca9,100808ecbe6bdbaa265c06c8801cb0a1169064,EXO,EXO
6,991413.0,100808a78e9421ebe798c9e58e1ef0d2d8fd03,1008085b3374c055c8bf2bf327c71ccec77b85,NCT 127,NCT 127
8,2899079.0,100808fb121a7bc55d665ddb384908751d7581,1008089b72dd476e3f024f7329d9ba8acecf79,ENHYPEN,ENHYPEN
9,2398260.0,100808dab73f7178cd7c8116e5fadf68301d29,100808a9961170a6772a0d39f1831ad4977314,ATEEZ ,ATEEZ (에이티즈)
10,3055146.0,1008080f65dc8b803f3acfa98b917ba44e80bb,1008085493859ebd4efd05f8c81b219a365f5c,IVE ,IVE (아이브)
11,1866861.0,1008089e34efdcfcb14e421971781379239eb3,1008086d57dc690feba2977afffadcdef574d5,NCT,NCT
13,995169.0,1008080d055beb31fd94ce0399a1981d82afc5,100808a22a6afbf8ab180e7355895e4753e1ef,BLACKPINK,BLACKPINK
14,3114174.0,10080850136a48dd4fd6415b48344646accdbc,100808ed835906749708fe65bc077222cd8785,NewJeans,NewJeans
15,2622030.0,100808e1c0102ce6d8ef56d4e3d55971473f5e,100808b168d6138145713a69ef415bcd91eb72,ITZY ,ITZY (있지)
